;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp7156;VI;+;2.650.858;2.652.840;1.983;1.501;26.344.679;26.346.661;0;0;660;Endoglucanase B (Cellulase B);Penicillium rubens;Ophiostoma piceae;;;extracellular endoglucanase;1;F:hydrolase activity;-;GH5 ;;N;;;
OphioH327gp7157;VI;-;2.653.051;2.655.848;2.798;210;26.346.872;26.349.669;1;92;901;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;fungal specific transcription factor;8;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; P:transcription, DNA-dependent; F:DNA binding";;;;N;;;
OphioH327gp7158;VI;+;2.657.640;2.659.127;1.488;1.791;26.351.461;26.352.948;0;0;495;Putative uncharacterized protein;Gaeumannomyces graminis;Ophiostoma piceae;;;hypothetical protein GGTG_05535;0;-;;;;N;;;
OphioH327gp7159;VI;-;2.659.253;2.659.771;519;125;26.353.074;26.353.592;0;0;172;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;hypothetical protein MGG_13563;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp7160;VI;-;2.661.587;2.671.775;10.189;1.815;26.355.408;26.365.596;1;61;3.375;Putative uncharacterized protein;Glarea lozoyensis;Ophiostoma piceae;;;hypothetical protein SNOG_15955;0;-;;;;N;;;
OphioH327gp7161;VI;+;2.673.546;2.675.993;2.448;1.770;26.367.367;26.369.814;0;0;815;Putative uncharacterized protein;Chaetomium thermophilum;Ophiostoma piceae;;;hypothetical protein CTHT_0049100;5;"F:rRNA (adenine-N6,N6-)-dimethyltransferase activity; P:rRNA modification; P:rRNA methylation; F:rRNA methyltransferase activity; F:DNA binding";;;;N;;;
OphioH327gp7162;VI;+;2.677.348;2.679.255;1.908;1.354;26.371.169;26.373.076;0;0;635;Beta-1,2-xylosyltransferase 1 (Cxt1p);Neurospora tetrasperma;Ophiostoma piceae;;;glycosyltransferase family 90 protein;1;F:transferase activity;;GT90 ;;N;;;
OphioH327gp7163;VI;+;2.680.179;2.680.760;582;923;26.374.000;26.374.581;0;0;193;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;arginase-like protein;1;F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines;EC:3.5.3.0;;;N;;;
OphioH327gp7164;VI;-;2.680.876;2.681.889;1.014;115;26.374.697;26.375.710;0;0;337;Alpha-ketoglutarate-dependent sulfonate dioxygenase;Nectria haematococca;Ophiostoma piceae;;;alpha-ketoglutarate-dependent taurine dioxygenase;2;"F:oxidoreductase activity; P:oxidation-reduction process";-;;;N;;;
OphioH327gp7165;VI;+;2.683.261;2.684.877;1.617;1.371;26.377.082;26.378.698;1;75;513;Probable transporter SEO1;Capronia epimyces;Ophiostoma piceae;;;mfs transporter;2;"C:integral to membrane; P:transmembrane transport";;;;N;;;
OphioH327gp7166;VI;-;2.685.070;2.685.346;277;192;26.378.891;26.379.167;1;61;71;Putative uncharacterized protein;Magnaporthe oryzae;Magnaporthe oryzae;;;hypothetical protein MGG_10856;5;"P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; C:nucleus; F:zinc ion binding";-;;;N;;;
OphioH327gp7167;VI;+;2.687.696;2.692.360;4.665;2.349;26.381.517;26.386.181;0;0;1.554;Anucleate primary sterigmata protein B;Grosmannia clavigera;Ophiostoma piceae;;;anucleate primary sterigmata protein b;0;-;;;M23B;N;;;
OphioH327gp7168;VI;+;2.695.193;2.696.498;1.306;2.832;26.389.014;26.390.319;4;226;359;Putative uncharacterized protein;Fusarium oxysporum;Ophiostoma piceae;;;integral membrane;0;-;;;;N;;;
OphioH327gp7169;VI;-;2.697.057;2.698.220;1.164;558;26.390.878;26.392.041;0;0;387;GPI anchored cell wall protein;Grosmannia clavigera;Ophiostoma piceae;;;gpi anchored;4;"F:ferric iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process";EC:1.13.11.0;;;Y;;;
OphioH327gp7170;VI;+;2.700.950;2.702.839;1.890;2.729;26.394.771;26.396.660;7;417;490;MFS general substrate transporter;Neurospora tetrasperma;Ophiostoma piceae;;;mfs general substrate transporter;2;"P:transmembrane transport; C:integral to membrane";-;;;N;;;
OphioH327gp7171;VI;+;2.705.145;2.706.920;1.776;2.305;26.398.966;26.400.741;1;72;567;Amino acid permease;Grosmannia clavigera;Ophiostoma piceae;;;amino acid permease;3;"C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport";-;;;N;;;
OphioH327gp7172;VI;-;2.708.081;2.710.168;2.088;1.160;26.401.902;26.403.989;2;117;656;Putative uncharacterized protein;Chaetomium globosum;Ophiostoma piceae;;;hypothetical protein CHGG_10068;0;-;;;;N;;;
OphioH327gp7173;VI;+;2.714.576;2.718.269;3.694;4.407;26.408.397;26.412.090;5;334;1.119;Linoleate diol synthase (CYP6001C18);Gaeumannomyces graminis;Ophiostoma piceae;K11987;"PTGS2, COX2; prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]";linoleate diol synthase;7;"F:heme binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:iron ion binding; F:peroxidase activity; F:electron carrier activity; P:oxidation-reduction process; P:response to oxidative stress";EC:1.11.1.7;;;N;;;
OphioH327gp7174;VI;+;2.719.050;2.719.472;423;780;26.412.871;26.413.293;0;0;140;Ankyrin repeat domain-containing protein 50;Grosmannia clavigera;Ophiostoma piceae;;;spherulin-1b precursor;2;"C:extracellular region; F:metal ion binding";-;;;N;;;
OphioH327gp7175;VI;+;2.720.655;2.721.559;905;1.182;26.414.476;26.415.380;1;203;233;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein TRIATDRAFT_36659;0;-;;;;N;;;
OphioH327gp7176;VI;-;2.721.753;2.725.214;3.462;193;26.415.574;26.419.035;4;564;965;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;calcofluor white hypersensitive protein;5;"C:integral to plasma membrane; C:cellular bud tip; P:GPI anchor biosynthetic process; P:fungal-type cell wall organization; C:cellular bud neck";-;;;N;Y;;
OphioH327gp7177;VI;+;2.726.722;2.727.768;1.047;1.507;26.420.543;26.421.589;0;0;348;Putative uncharacterized protein;Fusarium verticillioides;Fusarium verticillioides;;;hypothetical protein FOXB_08155;0;-;;;;N;;;
OphioH327gp7178;VI;-;2.728.166;2.731.094;2.929;397;26.421.987;26.424.915;6;850;692;O-methylsterigmatocystin oxidoreductase (CYP533C2);Talaromyces stipitatus;Ophiostoma piceae;K07408;"CYP1A1; cytochrome P450, family 1, subfamily A, polypeptide 1 [EC:1.14.14.1]";cytochrome p450 monooxygenase;6;"F:heme binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:monooxygenase activity; F:iron ion binding; F:electron carrier activity; P:oxidation-reduction process";-;;;N;;;
OphioH327gp7179;VI;-;2.731.401;2.733.030;1.630;306;26.425.222;26.426.851;5;328;433;Uncharacterized transcriptional regulatory protein C530.11c;Talaromyces marneffei;Talaromyces marneffei;;;n-carbamoylsarcosine amidase;4;"P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding";-;;;N;;;
OphioH327gp7180;VI;+;2.734.924;2.736.705;1.782;1.893;26.428.745;26.430.526;4;270;503;Homogentisate 1,2-dioxygenase, putative;Talaromyces marneffei;Ophiostoma piceae;;;homogentisate -;4;"F:homogentisate 1,2-dioxygenase activity; P:L-phenylalanine catabolic process; P:oxidation-reduction process; P:tyrosine metabolic process";EC:1.13.11.5;;;N;;;
OphioH327gp7181;VI;+;2.737.575;2.739.154;1.580;869;26.431.396;26.432.975;1;53;508;Purine-cytosine permease FCY2, putative;Talaromyces marneffei;Ophiostoma piceae;;;purine-cytosine permease fcy22;5;"P:metabolic process; P:nucleobase transport; C:membrane; F:catalytic activity; F:nucleobase transmembrane transporter activity";-;;;N;;;
OphioH327gp7182;VI;+;2.739.533;2.740.207;675;378;26.433.354;26.434.028;0;0;224;N-carbamoylsarcosine amidase, putative;Talaromyces marneffei;Ophiostoma piceae;;;n-carbamoylsarcosine amidase;5;"P:nucleobase transport; F:nucleobase transmembrane transporter activity; P:transcription, DNA-dependent; F:catalytic activity; C:membrane";-;;;N;;;
OphioH327gp7183;VI;+;2.740.812;2.742.516;1.705;604;26.434.633;26.436.337;6;415;429;L-saccharopine oxidase;Pestalotiopsis fici;Ophiostoma piceae;;;fructosyl amino acid oxidase;2;"P:oxidation-reduction process; F:oxidoreductase activity";-;;;N;;;
OphioH327gp7184;VI;+;2.742.798;2.744.477;1.680;281;26.436.619;26.438.298;4;237;480;Dibenzothiophene desulfurization enzyme A, putative;Capronia epimyces;Ophiostoma piceae;;;nitrilotriacetate monooxygenase component a;2;"F:oxidoreductase activity; P:metabolic process";-;;;N;;;
OphioH327gp7185;VI;+;2.745.120;2.747.446;2.327;642;26.438.941;26.441.267;2;140;728;ADP-ribosylation factor 6;Grosmannia clavigera;Grosmannia clavigera;K07977;"ARF; Arf/Sar family, other";adp-ribosylation factor 6;8;"F:GTP binding; P:small GTPase mediated signal transduction; F:nucleotide binding; F:ubiquitin thiolesterase activity; P:ubiquitin-dependent protein catabolic process; C:intracellular; F:signal transducer activity; P:signal transduction";;;;N;;;
OphioH327gp7186;VI;-;2.747.647;2.748.254;608;200;26.441.468;26.442.075;1;89;172;Putative uncharacterized protein;Chaetomium thermophilum;Ophiostoma piceae;;;hypothetical protein CTHT_0004220;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp7187;VI;+;2.748.667;2.750.317;1.651;412;26.442.488;26.444.138;1;67;527;Bleomycin hydrolase (Aminopeptidase H);Togninia minima;Ophiostoma piceae;K01372;"E3.4.22.40, pepC; bleomycin hydrolase [EC:3.4.22.40]";cysteine proteinase 1;1;F:hydrolase activity;-;;C01B;N;;;
OphioH327gp7188;VI;+;2.751.227;2.753.040;1.814;909;26.445.048;26.446.861;2;311;500;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_44;1;P:cell adhesion;;;;N;;;
OphioH327gp7189;VI;+;2.754.116;2.754.604;489;1.075;26.447.937;26.448.425;0;0;162;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;Y;;;
OphioH327gp7190;VI;+;2.755.968;2.757.803;1.836;1.363;26.449.789;26.451.624;7;483;450;Benzoate 4-monooxygenase (CYP5062A4);Pestalotiopsis fici;Ophiostoma piceae;;;cytochrome p450 monooxygenase;2;"F:metal ion binding; F:oxidoreductase activity";-;;;N;;;
OphioH327gp7193.1;VII;+;30.650;31.301;652;;26.526.065;26.526.716;1;64;195;Conserved hypothetical protein;Neurospora tetrasperma;Sporothrix schenckii;;;;3;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity";;;;N;;;
OphioH327gp7194;VII;+;35.204;36.370;1.167;3.902;26.530.619;26.531.785;1;60;368;Alcohol dehydrogenase;Grosmannia clavigera;Ophiostoma piceae;K13953;"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]";alcohol dehydrogenase;4;"F:oxidoreductase activity; F:nucleotide binding; P:oxidation-reduction process; F:zinc ion binding";-;;;N;;;
OphioH327gp7195;VII;-;37.102;38.633;1.532;731;26.532.517;26.534.048;2;104;475;Dimethyl-sulfide monooxygenase;Fusarium fujikuroi;Ophiostoma piceae;;;pristinamycin iia synthase subunit a;3;"F:monooxygenase activity; P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";;;;N;;;
OphioH327gp7196;VII;+;39.235;40.708;1.474;601;26.534.650;26.536.123;3;184;429;Dibenzothiophene desulfurization enzyme C (DBT sulfur dioxygenase);Fusarium oxysporum;Ophiostoma piceae;;;thermophilic desulfurizing enzyme family protein;3;"F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:acyl-CoA dehydrogenase activity";EC:1.3.99.3;;;N;;;
OphioH327gp7197;VII;+;43.179;44.473;1.295;2.470;26.538.594;26.539.888;1;62;410;Endothiapepsin (Aspartate protease);Togninia minima;Ophiostoma piceae;;;endothiapepsin precursor;2;"F:aspartic-type endopeptidase activity; P:proteolysis";EC:3.4.23.0;;A01A;Y;;;
OphioH327gp7198;VII;+;45.190;46.174;985;716;26.540.605;26.541.589;2;106;292;N-acyl homoserine lactonase;Penicillium roqueforti;Ophiostoma piceae;;;metallo-beta-lactamase superfamily protein;1;F:hydrolase activity;-;;;N;;;
OphioH327gp7199;VII;+;49.062;50.765;1.704;2.887;26.544.477;26.546.180;1;66;545;Sugar transporter STL1;Myceliophthora thermophila;Ophiostoma piceae;;;sugar transporter stl1;4;"F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport";-;;;N;;;
OphioH327gp7200;VII;-;50.981;54.361;3.381;215;26.546.396;26.549.776;0;0;1.126;Putative uncharacterized protein;Colletotrichum graminicola;Ophiostoma piceae;;;integral membrane protein;0;-;;;;N;;;
OphioH327gp7201;VII;-;54.827;56.624;1.798;465;26.550.242;26.552.039;2;115;560;Acyl-CoA synthetases/AMP-acid ligases II;Pestalotiopsis fici;Ophiostoma piceae;;;acyl- synthetases amp-acid ligases ii;4;"F:ligase activity; P:metabolic process; F:catalytic activity; F:monooxygenase activity";;;;N;;;
OphioH327gp7202;VII;+;58.001;58.734;734;1.376;26.553.416;26.554.149;1;62;223;Acyl-CoA dehydrogenase domain-containing protein;Scedosporium apiospermum;Ophiostoma piceae;;;acyl- dehydrogenase;3;"F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:acyl-CoA dehydrogenase activity";EC:1.3.99.3;;;N;;;
OphioH327gp7203;VII;-;58.910;59.746;837;175;26.554.325;26.555.161;0;0;278;Carnitinyl-CoA dehydratase, putative;Scedosporium apiospermum;Ophiostoma piceae;;;enoyl- hydratase;1;F:catalytic activity;-;;;N;;;
OphioH327gp7204;VII;+;60.468;61.928;1.461;721;26.555.883;26.557.343;0;0;486;Putative uncharacterized protein;Aspergillus fumigatus;Ophiostoma piceae;;;conserved hypothetical protein;0;-;;;;N;;;
OphioH327gp7205;VII;-;62.039;63.646;1.608;110;26.557.454;26.559.061;1;69;512;Putative uncharacterized protein;Fusarium pseudograminearum;Ophiostoma piceae;K00626;"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]";acetyl- acetyltransferase;1;F:catalytic activity;-;;;N;;;
OphioH327gp7205.1;VII;+;66.189;66.854;666;2.542;26.561.604;26.562.269;1;69;198;Rieske domain-containing protein;Colletotrichum higginsianum;Ophiostoma piceae;;;;5;"F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity; F:2 iron, 2 sulfur cluster binding; F:iron-sulfur cluster binding";;;;N;;;
OphioH327gp7206;VII;+;68.281;68.775;495;1.426;26.563.696;26.564.190;0;0;164;Beta-N-acetylglucosaminyltransferase;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical beta- -n-acetylglucosaminyltransferase;2;"F:transferase activity; F:transferase activity, transferring glycosyl groups";;;;Y;;;
OphioH327gp7207;VII;-;72.074;73.480;1.407;3.298;26.567.489;26.568.895;0;0;468;C6 zinc finger domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;c6 zinc finger domain protein;6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";;;;N;;;
OphioH327gp7208;VII;+;80.689;83.178;2.490;7.208;26.576.104;26.578.593;0;0;829;Phosphotransferase-like protein;Grosmannia clavigera;Ophiostoma piceae;;;phosphotransferase-like protein;2;"F:transferase activity; F:transferase activity, transferring phosphorus-containing groups";;;;N;;;
OphioH327gp7209;VII;+;88.142;90.508;2.367;4.963;26.583.557;26.585.923;0;0;788;Probable transcription repressor protein RGM1;Pseudogymnoascus destructans;Ophiostoma piceae;K09237;"K09237; Cys2His2 zinc finger developmental/cell cycle regulator, other";c2h2 transcription;1;F:binding;-;;;N;;;
OphioH327gp7210;VII;-;91.277;92.977;1.701;768;26.586.692;26.588.392;0;0;566;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein CMQ_1674;0;-;;;;N;;;
OphioH327gp7211;VII;+;94.543;95.865;1.323;1.565;26.589.958;26.591.280;0;0;440;Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5);Togninia minima;Ophiostoma piceae;;;golgi transport complex component cog5;2;"F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp7212;VII;+;96.681;97.532;852;815;26.592.096;26.592.947;0;0;283;Formyltetrahydrofolate deformylase;Grosmannia clavigera;Ophiostoma piceae;K01433;"purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]";formyl transferase;4;"F:formyltetrahydrofolate deformylase activity; P:'de novo' IMP biosynthetic process; F:hydroxymethyl-, formyl- and related transferase activity; F:amino acid binding";"EC:3.5.1.10; EC:2.1.2.0";;;N;;;
OphioH327gp7213;VII;+;98.292;99.185;894;759;26.593.707;26.594.600;0;0;297;Putative uncharacterized protein;Claviceps purpurea;Ophiostoma piceae;;;protein family;0;-;;;;N;;;
OphioH327gp7214;VII;+;100.110;103.147;3.038;924;26.595.525;26.598.562;2;134;967;Putative uncharacterized protein; ;Ophiostoma piceae;;;hypothetical protein GGTG_05302;0;-;;;;Y;;;
OphioH327gp7215;VII;+;105.061;106.596;1.536;1.913;26.600.476;26.602.011;0;0;511;Major facilitator superfamily transporter monocarboxylate;Grosmannia clavigera;Ophiostoma piceae;K08180;"SLC16A3; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 3";major facilitator superfamily transporter monocarboxylate;2;"C:integral to membrane; P:transmembrane transport";;;;N;;;
OphioH327gp7216;VII;-;106.741;107.610;870;144;26.602.156;26.603.025;0;0;289;NADPH-dependent 1-acyldihydroxyacetone phosphate reductase;Grosmannia clavigera;Ophiostoma piceae;K00540;"E1.-.-.-; unclassified metabolism";nadph-dependent 1-acyldihydroxyacetone phosphate reductase;3;"F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding";-;;;N;;;
OphioH327gp7217;VII;+;108.742;111.134;2.393;1.131;26.604.157;26.606.549;1;53;779;Proline utilization trans-activator;Colletotrichum fioriniae;Ophiostoma piceae;;;zn 2cys6 transcription factor;2;"P:transcription, DNA-dependent; F:binding";-;;;N;;;
OphioH327gp7218;VII;-;111.191;112.948;1.758;56;26.606.606;26.608.363;0;0;585;Cytochrome P450 (CYP590B1);Fusarium oxysporum;Ophiostoma piceae;;;cytochrome p450;9;"F:heme binding; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:electron carrier activity; P:oxidation-reduction process; F:oxidoreductase activity; C:cellular_component; F:metal ion binding; F:monooxygenase activity";;;;Y;;;
OphioH327gp7219;VII;-;114.299;115.606;1.308;1.350;26.609.714;26.611.021;0;0;435;L-saccharopine oxidase;Fusarium oxysporum;Fusarium oxysporum;K00306;"PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]";sarcosine oxidase;1;P:metabolic process;-;;;N;;;
OphioH327gp7220;VII;-;116.624;118.444;1.821;1.017;26.612.039;26.613.859;1;63;585;Delta-1-pyrroline-5-carboxylate dehydrogenase;Verticillium alfalfae;Verticillium alfalfae;K00294;"E1.5.1.12; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12]";delta-1-pyrroline-5-carboxylate dehydrogenase;4;"F:1-pyrroline-5-carboxylate dehydrogenase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:proline biosynthetic process; P:oxidation-reduction process";"EC:1.5.1.12; EC:1.2.1.0";;;N;;;
OphioH327gp7221;VII;+;119.208;120.080;873;763;26.614.623;26.615.495;0;0;290;Uncharacterized membrane protein C365.16;Aspergillus flavus;Aspergillus flavus;;;conserved hypothetical protein;0;-;;;;N;;;
OphioH327gp7222;VII;-;120.208;121.686;1.479;127;26.615.623;26.617.101;0;0;492;Probable proline dehydrogenase, mitochondrial;Penicillium roqueforti;Ophiostoma piceae;K00318;"E1.5.99.8; proline dehydrogenase [EC:1.5.99.8]";proline oxidase;3;"P:glutamine family amino acid metabolic process; P:biosynthetic process; F:catalytic activity";-;;;N;;;
OphioH327gp7223;VII;+;122.802;124.596;1.795;1.115;26.618.217;26.620.011;1;70;574;General amino acid permease AGP2;Nectria haematococca;Nectria haematococca;K16261;"YAT; yeast amino acid transporter";amino acid transporter;3;"C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport";-;;;N;;;
OphioH327gp7224;VII;-;126.647;129.667;3.021;2.050;26.622.062;26.625.082;0;0;1.006;Probable beta-galactosidase E (Lactase E);Pestalotiopsis fici;Pestalotiopsis fici;K12309;"GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]";bgale_aspfu ame: full=probable beta-galactosidase e ame: full=lactase e flags: precursor;2;"F:hydrolase activity, acting on glycosyl bonds; P:metabolic process";-;GH35 ;;Y;;;
OphioH327gp7225;VII;+;131.173;132.337;1.165;1.505;26.626.588;26.627.752;3;277;295;Uncharacterized mitochondrial carrier C19G12.05;Trichoderma virens;Ophiostoma piceae;K15100;"SLC25A1, CTP; solute carrier family 25 (mitochondrial citrate transporter), member 1";tricarboxylate transporter;2;"P:transmembrane transport; C:integral to membrane";-;;;N;;;
OphioH327gp7226;VII;-;132.551;133.097;547;213;26.627.966;26.628.512;1;130;138;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_557;0;-;;;;N;;;
OphioH327gp7227;VII;+;133.962;135.186;1.225;864;26.629.377;26.630.601;1;70;384;Metal homeostatis protein BSD2 (Bypass SOD defects protein 2);Colletotrichum fioriniae;Ophiostoma piceae;;;metal homeostatis protein bsd2;0;-;;;;N;;;
OphioH327gp7228;VII;+;135.674;136.390;717;487;26.631.089;26.631.805;0;0;238;D-aspartate O-methyltransferase;Penicillium roqueforti;Sporothrix schenckii;K00573;"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]";protein-l-isoaspartate o-methyltransferase;1;F:transferase activity;-;;;N;;;
OphioH327gp7229;VII;-;136.710;142.229;5.520;319;26.632.125;26.637.644;0;0;1.839;Sterol 3-beta-glucosyltransferase (Autophagy-related protein 26);Grosmannia clavigera;Ophiostoma piceae;K05841;"E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]";autophagy-related protein 26;2;"P:metabolic process; F:transferase activity";-;GT1 ;;N;;;
OphioH327gp7230;VII;-;144.326;145.924;1.599;2.096;26.639.741;26.641.339;0;0;532;WD domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;wd repeat containing protein;0;-;;;;N;;;
OphioH327gp7231;VII;+;146.289;147.848;1.560;364;26.641.704;26.643.263;0;0;519;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1128;0;-;;;;N;;;
OphioH327gp7232;VII;+;148.182;148.724;543;333;26.643.597;26.644.139;1;156;128;Putative uncharacterized protein;Colletotrichum higginsianum;Ophiostoma piceae;;;hypothetical protein CH063_09670;0;-;;;;N;;;
OphioH327gp7233;VII;-;148.823;149.716;894;98;26.644.238;26.645.131;0;0;297;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_446;0;-;;;;N;;;
OphioH327gp7234;VII;+;152.448;154.202;1.755;2.731;26.647.863;26.649.617;0;0;584;Putative uncharacterized protein;Verticillium dahliae;Ophiostoma piceae;;;hypothetical protein VDAG_09561;0;-;;;;N;;;
OphioH327gp7235;VII;-;155.112;157.892;2.781;909;26.650.527;26.653.307;1;315;821;Metacaspase-1;Bipolaris sorokiniana;Bipolaris sorokiniana;;;conserved hypothetical protein;2;"P:proteolysis; F:cysteine-type endopeptidase activity";;;C14B;N;Y;;
OphioH327gp7236;VII;+;158.251;162.094;3.844;358;26.653.666;26.657.509;1;64;1.259;Putative uncharacterized protein;Drechslerella stenobrocha;Drechslerella stenobrocha;;;hypothetical protein GGTG_13264;0;-;;;;N;;;
OphioH327gp7237;VII;-;162.503;163.160;658;408;26.657.918;26.658.575;1;88;189;Putative uncharacterized protein;Verticillium alfalfae;Ophiostoma piceae;;;hypothetical protein VDBG_09786;0;-;;;;N;;;
OphioH327gp7238;VII;+;164.494;165.146;653;1.333;26.659.909;26.660.561;1;293;119;NADH-ubiquinone oxidoreductase subunit;Grosmannia clavigera;Ophiostoma piceae;K11353;"NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 13 [EC:1.6.5.3 1.6.99.3]";nadh:ubiquinone oxidoreductase 14kd subunit;0;-;;;;N;Y;;
OphioH327gp7239;VII;-;165.433;169.287;3.855;286;26.660.848;26.664.702;1;153;1.233;Condensin complex subunit 1;Grosmannia clavigera;Ophiostoma piceae;K06677;"YCS4, CNAP1, CAPD2; condensin complex subunit 1";condensin-like protein;4;"P:mitosis; C:nucleus; P:chromosome condensation; P:cell division";-;;;N;;;
OphioH327gp7240;VII;+;170.118;171.737;1.620;830;26.665.533;26.667.152;0;0;539;Cell cycle serine/threonine-protein kinase hsk1 (Minichromosome maintenance protein kinase);Togninia minima;Ophiostoma piceae;K02214;"CDC7; cell division control protein 7 [EC:2.7.11.1]";cell cycle protein;3;"P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity";EC:2.7.11.0;;;N;;;
OphioH327gp7241;VII;-;171.869;172.525;657;131;26.667.284;26.667.940;0;0;218;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp7242;VII;+;175.857;176.846;990;3.331;26.671.272;26.672.261;1;54;311;Putative uncharacterized protein;Pyrenophora teres;Ophiostoma piceae;;;phosphotransferase family protein;2;"F:transferase activity, transferring phosphorus-containing groups; F:transferase activity";;;;N;;;
OphioH327gp7243;VII;+;180.580;181.224;645;3.733;26.675.995;26.676.639;0;0;214;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7244;VII;-;181.403;184.096;2.694;178;26.676.818;26.679.511;0;0;897;ATP-dependent RNA helicase chl-1 (Chromosome loss protein 1);Pestalotiopsis fici;Ophiostoma piceae;K11273;"DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]";dna repair helicase;3;"F:ATP-dependent helicase activity; F:nucleic acid binding; F:nucleotide binding";-;;;N;;;
OphioH327gp7245;VII;-;184.555;185.175;621;458;26.679.970;26.680.590;0;0;206;Glutathione-dependent formaldehyde-activating gfa;Grosmannia clavigera;Ophiostoma piceae;;;glutathione-dependent formaldehyde-activating gfa;2;"F:carbon-sulfur lyase activity; P:metabolic process";;;;N;;;
OphioH327gp7246;VII;+;185.916;188.300;2.385;740;26.681.331;26.683.715;0;0;794;Putative uncharacterized protein;Pestalotiopsis fici;Ophiostoma piceae;;;hypothetical protein SMAC_09161;0;-;;;;N;;;
