"protein_ID";"gene_ID";"gene_ID_gff3";"protein_ID_gff3";"Protein";"Chr";"Strand";"Start";"End";"Size (nt)";"Final Description"
"8117";1986677;"g8091";"gene_8117";1986677;"g8091";"VIII";"+";"579.896";"582.685";"2.790";"Centromere/kinetochore protein zw10 homolog"
"8118";1986678;"g8092";"gene_8118";1986678;"g8092";"VIII";"-";"582.977";"586.107";"3.131";"Nuclear cap-binding protein subunit 1"
"8119";1986679;"g8093";"gene_8119";1986679;"g8093";"VIII";"-";"588.954";"590.513";"1.560";"Glycogen synthase kinase"
"8120";1986680;"g8094";"gene_8120";1986680;"g8094";"VIII";"-";"600.418";"601.785";"1.368";"Ornithine decarboxylase"
"8121";1986681;"g8095";"gene_8121";1986681;"g8095";"VIII";"-";"604.856";"607.957";"3.102";"Mitochondrial presequence protease"
"8122";1986682;"g8096";"gene_8122";1986682;"g8096";"VIII";"+";"609.864";"610.869";"1.006";"Neurite-outgrowth-promoting-like protein"
"8123";1986683;"g8097";"gene_8123";1986683;"g8097";"VIII";"+";"613.258";"615.282";"2.025";"Putative uncharacterized protein"
"8124";1986684;"g8098";"gene_8124";1986684;"g8098";"VIII";"+";"616.233";"617.309";"1.077";"2-nitropropane dioxygenase"
"8125";1986685;"g8099";"gene_8125";1986685;"g8099";"VIII";"-";"617.584";"618.285";"702";"Putative uncharacterized protein"
"8126";1986686;"g8100";"gene_8126";1986686;"g8100";"VIII";"+";"619.651";"620.130";"480";"Putative uncharacterized protein"
"8127";1986687;"g8101";"gene_8127";1986687;"g8101";"VIII";"+";"620.964";"625.813";"4.850";"Putative uncharacterized protein"
"8128";1986688;"g8102";"gene_8128";1986688;"g8102";"VIII";"-";"625.992";"627.501";"1.510";"Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)"
"8129";1986689;"g8103";"gene_8129";1986689;"g8103";"VIII";"+";"628.016";"629.871";"1.856";"Permease of the major facilitator superfamily"
"8130";1986690;"g8104";"gene_8130";1986690;"g8104";"VIII";"+";"632.092";"633.372";"1.281";"Putative uncharacterized protein"
"8131";1986691;"g8105";"gene_8131";1986691;"g8105";"VIII";"-";"634.258";"638.640";"4.383";"mRNA degradation protein pet127, mitochondrial"
"8132";1986692;"g8106";"gene_8132";1986692;"g8106";"VIII";"-";"639.253";"643.062";"3.810";"MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein ssl3)"
"8133";1986693;"g8107";"gene_8133";1986693;"g8107";"VIII";"+";"644.666";"646.049";"1.384";"Alpha beta hydrolase fold family"
"8134";1986694;"g8108";"gene_8134";1986694;"g8108";"VIII";"-";"646.491";"647.153";"663";"60S ribosomal subunit assembly/export protein loc-1"
"8135";1986695;"g8109";"gene_8135";1986695;"g8109";"VIII";"+";"647.663";"648.518";"856";"Imidazoleglycerol-phosphate dehydratase IGPD"
"8136";1986696;"g8110";"gene_8136";1986696;"g8110";"VIII";"+";"649.126";"649.498";"373";"Putative uncharacterized protein"
"8137";1986697;"g8111";"gene_8137";1986697;"g8111";"VIII";"-";"649.746";"650.862";"1.117";"AAA ATPase domain containing protein"
"8138";1986698;"g8112";"gene_8138";1986698;"g8112";"VIII";"+";"651.492";"653.507";"2.016";"ATP NAD kinase "
"8139";1986699;"g8113";"gene_8139";1986699;"g8113";"VIII";"-";"654.004";"654.929";"926";"Putative uncharacterized protein"
"8140";1986700;"g8114";"gene_8140";1986700;"g8114";"VIII";"+";"659.738";"661.970";"2.233";"Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles)"
"8141";1986701;"g8115";"gene_8141";1986701;"g8115";"VIII";"+";"663.508";"664.341";"834";"Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3)"
"8142";1986702;"g8116";"gene_8142";1986702;"g8116";"VIII";"-";"664.583";"665.182";"600";"Centrin-2 (Caltractin isoform 1)"
"8143";1986703;"g8117";"gene_8143";1986703;"g8117";"VIII";"+";"666.030";"667.204";"1.175";"D-sorbose"
"8144";1986704;"g8118";"gene_8144";1986704;"g8118";"VIII";"+";"668.412";"669.341";"930";"Altered inheritance of mitochondria protein 6"
"8145";1986705;"g8119";"gene_8145";1986705;"g8119";"VIII";"+";"671.164";"673.281";"2.118";"Altered inheritance of mitochondria protein 9"
"8146";1986706;"g8120";"gene_8146";1986706;"g8120";"VIII";"-";"675.499";"676.293";"795";"NPP1 domain protein, putative"
"8147";1986707;"g8122";"gene_8147";1986707;"g8122";"VIII";"+";"693.896";"695.113";"1.218";"Putative uncharacterized protein"
"8148";1986708;"g8123";"gene_8148";1986708;"g8123";"VIII";"-";"695.609";"697.018";"1.410";"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial"
"8149";1986709;"g8124";"gene_8149";1986709;"g8124";"VIII";"+";"697.570";"698.763";"1.194";"LAS1-like protein"
"8150";1986710;"g8125";"gene_8150";1986710;"g8125";"VIII";"+";"700.048";"701.812";"1.765";"Centromere microtubule-binding protein cbf5"
"8151";1986711;"g8126";"gene_8151";1986711;"g8126";"VIII";"-";"702.219";"703.358";"1.140";"Probable hydroxyacylglutathione hydrolase C824.07"
"8152";1986712;"g8127";"gene_8152";1986712;"g8127";"VIII";"-";"704.097";"708.068";"3.972";"Peroxisome biosynthesis protein PAS1 (Peroxin-1)"
"8153";1986713;"g8128";"gene_8153";1986713;"g8128";"VIII";"+";"708.903";"711.639";"2.737";"DNA replication licensing factor mcm7 (Minichromosome maintenance protein 7)"
"8154";1986714;"g8129";"gene_8154";1986714;"g8129";"VIII";"-";"712.061";"713.650";"1.590";"37S ribosomal protein S23, mitochondrial"
"8155";1986715;"g8130";"gene_8155";1986715;"g8130";"VIII";"+";"714.459";"715.741";"1.283";"Derlin-2 (Degradation in endoplasmic reticulum protein 2)"
"8156";1986716;"g8131";"gene_8156";1986716;"g8131";"VIII";"-";"716.039";"717.905";"1.867";"Putative uncharacterized protein"
"8157";1986717;"g8132";"gene_8157";1986717;"g8132";"VIII";"+";"720.937";"722.300";"1.364";"Putative uncharacterized protein"
"8158";1986718;"g8133";"gene_8158";1986718;"g8133";"VIII";"+";"725.015";"728.384";"3.370";"Protein N-terminal amidase (NT-amidase)"
"8159";1986719;"g8134";"gene_8159";1986719;"g8134";"VIII";"+";"732.502";"734.406";"1.905";"Putative uncharacterized protein"
"8160";1986720;"g8135";"gene_8160";1986720;"g8135";"VIII";"+";"735.405";"736.034";"630";"Rhomboid family membrane protein"
"8161";1986721;"g8136";"gene_8161";1986721;"g8136";"VIII";"+";"738.360";"740.156";"1.797";"Rhomboid family membrane protein"
"8162";1986722;"g8137";"gene_8162";1986722;"g8137";"VIII";"-";"740.521";"742.146";"1.626";"Sterol regulatory element-binding protein ECM22 (Extracellular mutant protein 22)"
"8163";1986723;"g8138";"gene_8163";1986723;"g8138";"VIII";"-";"742.500";"744.323";"1.824";"Putative uncharacterized protein"
"8164";1986724;"g8139";"gene_8164";1986724;"g8139";"VIII";"+";"746.558";"747.452";"895";"Putative uncharacterized protein"
"8165";1986725;"g8140";"gene_8165";1986725;"g8140";"VIII";"+";"748.435";"749.787";"1.353";"Apoptosis-inducing factor 2"
"8166";1986726;"g8141";"gene_8166";1986726;"g8141";"VIII";"-";"750.158";"752.415";"2.258";"NADP-dependent malic enzyme (SrfA-induced gene A protein)"
"8167";1986727;"g8142";"gene_8167";1986727;"g8142";"VIII";"-";"759.008";"762.061";"3.054";"GAS2 domain containing protein"
"8168";1986728;"g8143";"gene_8168";1986728;"g8143";"VIII";"+";"764.504";"764.764";"261";"Putative uncharacterized protein"
"8169";1986729;"g8144";"gene_8169";1986729;"g8144";"VIII";"-";"765.055";"766.179";"1.125";"Putative uncharacterized protein"
"8170";1986730;"g8145";"gene_8170";1986730;"g8145";"VIII";"-";"769.169";"771.567";"2.399";"Transcription factor Vib-1 (Vegetative incompatibility blocked protein 1)"
"8171";1986731;"g8147";"gene_8171";1986731;"g8147";"VIII";"-";"799.743";"801.909";"2.167";"E3 ubiquitin-protein ligase itt1 (RING finger protein itt1)"
"8172";1986732;"g8148";"gene_8172";1986732;"g8148";"VIII";"+";"803.366";"806.496";"3.131";"Pheromone-dependent cell cycle arrest protein"
"8173";1986733;"g8149";"gene_8173";1986733;"g8149";"VIII";"-";"807.108";"807.950";"843";"Putative uncharacterized protein"
"8174";1986734;"g8150";"gene_8174";1986734;"g8150";"VIII";"+";"816.234";"819.866";"3.633";"Cutinase transcription factor 1 beta"
"8175";1986735;"g8152";"gene_8175";1986735;"g8152";"VIII";"+";"820.591";"823.256";"2.666";"AdoMet-dependent rRNA methyltransferase SPB1"
"8176";1986736;"g8153";"gene_8176";1986736;"g8153";"VIII";"-";"823.490";"824.515";"1.026";"JmjC domain-containing protein 7 (Jumonji domain-containing protein 7)"
"8177";1986737;"g8154";"gene_8177";1986737;"g8154";"VIII";"-";"824.961";"826.046";"1.086";"Putative uncharacterized protein"
"8178";1986738;"g8155";"gene_8178";1986738;"g8155";"VIII";"-";"830.239";"833.901";"3.663";"Sterol regulatory element-binding protein cleavage-activating protein"
"8179";1986739;"g8156";"gene_8179";1986739;"g8156";"VIII";"-";"836.735";"839.224";"2.490";"Putative uncharacterized protein"
"8180";1986740;"g8157";"gene_8180";1986740;"g8157";"VIII";"+";"843.923";"844.191";"269";"Glucose-repressible gene protein"
"8181";1986741;"g8158";"gene_8181";1986741;"g8158";"VIII";"+";"844.785";"845.540";"756";"Emopamil-binding-related protein"
"8182";1986742;"g8159";"gene_8182";1986742;"g8159";"VIII";"+";"850.786";"853.302";"2.517";"Putative uncharacterized protein"
"8183";1986743;"g8160";"gene_8183";1986743;"g8160";"VIII";"-";"854.119";"855.069";"951";"Dynein heavy chain"
"8184";1986744;"g8161";"gene_8184";1986744;"g8161";"VIII";"-";"855.823";"857.521";"1.699";"Homoserine O-acetyltransferase"
"8185";1986745;"g8162";"gene_8185";1986745;"g8162";"VIII";"+";"859.072";"866.796";"7.725";"Tho complex component"
"8186";1986746;"g8163";"gene_8186";1986746;"g8163";"VIII";"-";"867.303";"869.330";"2.028";"Transmembrane protein 184 homolog DDB_G0284525"
"8187";1986747;"g8164";"gene_8187";1986747;"g8164";"VIII";"-";"873.132";"874.716";"1.585";"Cell wall integrity and stress response component 4"
"8188";1986748;"g8165";"gene_8188";1986748;"g8165";"VIII";"+";"881.345";"882.649";"1.305";"Phosphatidylinositol-specific phospholipase C"
"8189";1986749;"g8166";"gene_8189";1986749;"g8166";"VIII";"-";"883.196";"888.073";"4.878";"Putative uncharacterized protein"
"8190";1986750;"g8167";"gene_8190";1986750;"g8167";"VIII";"-";"890.207";"892.017";"1.811";"Putative uncharacterized protein"
"8191";1986751;"g8168";"gene_8191";1986751;"g8168";"VIII";"+";"896.423";"899.142";"2.720";"DUF221 domain protein"
"8192";1986752;"g8169";"gene_8192";1986752;"g8169";"VIII";"-";"899.409";"900.074";"666";"Histone deacetylase"
"8193";1986753;"g8170";"gene_8193";1986753;"g8170";"VIII";"-";"900.589";"901.505";"917";"Histone deacetylase"
"8194";1986754;"g8171";"gene_8194";1986754;"g8171";"VIII";"+";"902.341";"903.237";"897";"Cyclin-L1"
"8195";1986755;"g8172";"gene_8195";1986755;"g8172";"VIII";"-";"903.318";"905.392";"2.075";"Putative uncharacterized protein"
"8196";1986756;"g8173";"gene_8196";1986756;"g8173";"VIII";"+";"907.370";"912.546";"5.177";"GRAM domain containing protein"
"8197";1986757;"g8174";"gene_8197";1986757;"g8174";"VIII";"-";"914.047";"915.674";"1.628";"Probable D-xylulose reductase A (Xylitol dehydrogenase A)"
"8198";1986758;"g8175";"gene_8198";1986758;"g8175";"VIII";"-";"918.401";"918.843";"443";"Putative uncharacterized protein"
"8199";1986759;"g8176";"gene_8199";1986759;"g8176";"VIII";"-";"919.264";"921.211";"1.948";"Vacuolar protein sorting-associated protein 17"
"8200";1986760;"g8177";"gene_8200";1986760;"g8177";"VIII";"+";"921.911";"924.702";"2.792";"Ribosome-releasing factor 2, mitochondrial (Elongation factor G 2, mitochondrial)"
"8201";1986761;"g8178";"gene_8201";1986761;"g8178";"VIII";"+";"927.316";"930.201";"2.886";"Phosphate/H+ symporter"
"8202";1986762;"g8179";"gene_8202";1986762;"g8179";"VIII";"-";"930.462";"931.892";"1.431";"COP9 signalosome complex subunit 6 (Signalosome subunit 6)"
"8203";1986763;"g8180";"gene_8203";1986763;"g8180";"VIII";"+";"937.286";"938.695";"1.410";"Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"8204";1986764;"g8181";"gene_8204";1986764;"g8181";"VIII";"+";"939.372";"940.742";"1.371";"Putative uncharacterized protein"
"8205";1986765;"g8182";"gene_8205";1986765;"g8182";"VIII";"-";"940.898";"943.000";"2.103";"Histone-lysine n-methyltransferase"
"8206";1986766;"g8183";"gene_8206";1986766;"g8183";"VIII";"+";"943.632";"946.019";"2.388";"Pre-mRNA-splicing factor cef-1"
"8207";1986767;"g8184";"gene_8207";1986767;"g8184";"VIII";"+";"947.936";"952.726";"4.791";"Actin cytoskeleton organization and biogenesis protein"
"8208";1986768;"g8185";"gene_8208";1986768;"g8185";"VIII";"-";"959.345";"962.903";"3.559";"Xylanolytic transcriptional activator xlnR (Xylanase regulator)"
"8209";1986769;"g8186";"gene_8209";1986769;"g8186";"VIII";"-";"967.411";"967.680";"270";"Putative uncharacterized protein"
"8210";1986770;"g8187";"gene_8210";1986770;"g8187";"VIII";"-";"973.143";"976.804";"3.662";"Uncharacterized WD repeat-containing protein C1672.07"
"8211";1986771;"g8188";"gene_8211";1986771;"g8188";"VIII";"+";"978.989";"979.885";"897";"Dihydroxyhept-2-ene-1,7-dioic acid aldolase"
"8212";1986772;"g8189";"gene_8212";1986772;"g8189";"VIII";"-";"980.028";"980.612";"585";"Putative uncharacterized protein"
"8213";1986773;"g8190";"gene_8213";1986773;"g8190";"VIII";"-";"982.600";"984.510";"1.911";"Hexokinase family protein"
"8214";1986774;"g8191";"gene_8214";1986774;"g8191";"VIII";"+";"986.091";"986.885";"795";"Gamma interferon inducible lysosomal thiol reductase"
"8215";1986775;"g8192";"gene_8215";1986775;"g8192";"VIII";"-";"986.976";"987.972";"997";"m7GpppX diphosphatase (Scavenger mRNA-decapping enzyme DcpS)"
"8216";1986776;"g8193";"gene_8216";1986776;"g8193";"VIII";"-";"988.207";"989.202";"996";"mRNA decapping hydrolase"
"8217";1986777;"g8194";"gene_8217";1986777;"g8194";"VIII";"-";"989.941";"991.296";"1.356";"Putative uncharacterized protein"
"8218";1986778;"g8195";"gene_8218";1986778;"g8195";"VIII";"-";"994.347";"995.959";"1.613";"Major facilitator superfamily domain-containing protein 1"
"8219";1986779;"g8196";"gene_8219";1986779;"g8196";"VIII";"-";"997.547";"1.001.278";"3.732";"Tubulin-specific chaperone D (Beta-tubulin cofactor D)"
"8220";1986780;"g8197";"gene_8220";1986780;"g8197";"VIII";"-";"1.001.778";"1.002.989";"1.212";"Putative mannan endo-1,6-alpha-mannosidase C1198.07c"
"8221";1986781;"g8198";"gene_8221";1986781;"g8198";"VIII";"-";"1.006.802";"1.020.196";"13.395";"Dynein heavy chain"
"8222";1986782;"g8199";"gene_8222";1986782;"g8199";"VIII";"-";"1.022.344";"1.024.725";"2.382";"Mutator-like element transposase, putative"
"8223";1986783;"g8200";"gene_8223";1986783;"g8200";"VIII";"-";"1.028.270";"1.030.843";"2.574";"Gamma-tubulin complex component"
"8224";1986784;"g8201";"gene_8224";1986784;"g8201";"VIII";"-";"1.031.177";"1.033.166";"1.990";"Spartin"
"8225";1986785;"g8203";"gene_8225";1986785;"g8203";"VIII";"+";"1.043.404";"1.047.924";"4.521";"Uncharacterized transcriptional regulatory protein PB1A11.04c"
"8226";1986786;"g8204";"gene_8226";1986786;"g8204";"VIII";"+";"1.049.754";"1.051.283";"1.530";"Serine-type peptidase"
"8227";1986787;"g8205";"gene_8227";1986787;"g8205";"VIII";"-";"1.051.536";"1.054.686";"3.151";"mRNA transport regulator"
"8228";1986788;"g8206";"gene_8228";1986788;"g8206";"VIII";"-";"1.055.828";"1.056.625";"798";"5-formyltetrahydrofolate cyclo-ligase"
"8229";1986789;"g8207";"gene_8229";1986789;"g8207";"VIII";"+";"1.058.909";"1.062.146";"3.238";"Oligopeptide transporter 4"
"8230";1986790;"g8208";"gene_8230";1986790;"g8208";"VIII";"+";"1.062.931";"1.065.527";"2.597";"Homoaconitase"
"8231";1986791;"g8210";"gene_8231";1986791;"g8210";"VIII";"-";"1.070.239";"1.071.780";"1.542";"DNA-binding protein creA (Carbon catabolite repressor)"
"8232";1986792;"g8212";"gene_8232";1986792;"g8212";"VIII";"+";"1.090.173";"1.091.718";"1.546";"DNA repair protein rhp55 (RAD55 homolog)"
"8233";1986793;"g8213";"gene_8233";1986793;"g8213";"VIII";"-";"1.091.888";"1.093.422";"1.535";"Cortical actin cytoskeleton protein vip1"
"8234";1986794;"g8214";"gene_8234";1986794;"g8214";"VIII";"-";"1.094.409";"1.096.601";"2.193";"Dimethylguanosine tRNA methyltransferase"
"8235";1986795;"g8215";"gene_8235";1986795;"g8215";"VIII";"+";"1.098.698";"1.102.990";"4.293";"Putative uncharacterized protein"
"8236";1986796;"g8216";"gene_8236";1986796;"g8216";"VIII";"+";"1.104.028";"1.106.559";"2.532";"Uncharacterized ABC transporter ATP-binding protein YheS"
"8237";1986797;"g8217";"gene_8237";1986797;"g8217";"VIII";"+";"1.110.322";"1.111.116";"795";"Putative uncharacterized protein"
"8238";1986798;"g8218";"gene_8238";1986798;"g8218";"VIII";"-";"1.112.628";"1.113.458";"831";"Putative uncharacterized protein"
"8239";1986799;"g8219";"gene_8239";1986799;"g8219";"VIII";"+";"1.114.803";"1.116.505";"1.703";"Transcription regulator"
"8240";1986800;"g8220";"gene_8240";1986800;"g8220";"VIII";"-";"1.117.242";"1.118.021";"780";"Mitochondrial import inner membrane translocase subunit TIM21"
"8241";1986801;"g8221";"gene_8241";1986801;"g8221";"VIII";"+";"1.118.768";"1.120.412";"1.645";"ADP-ribosylation factor GTPase-activating protein glo3 (ARF GAP glo3)"
"8242";1986802;"g8222";"gene_8242";1986802;"g8222";"VIII";"-";"1.121.315";"1.122.648";"1.334";"2-nitropropane dioxygenase"
"8243";1986803;"g8223";"gene_8243";1986803;"g8223";"VIII";"+";"1.124.682";"1.126.142";"1.461";"Folic acid synthesis protein fol1 (Dihydroneopterin aldolase)"
"8244";1986804;"g8224";"gene_8244";1986804;"g8224";"VIII";"+";"1.129.035";"1.130.609";"1.575";"Vacuolar H+/Ca2+ exchanger"
"8245";1986805;"g8225";"gene_8245";1986805;"g8225";"VIII";"-";"1.131.096";"1.133.927";"2.832";"Chitin synthase D (GT2 family)"
"8246";1986806;"g8225.1";"gene_8246";1986806;"g8225.1";"VIII";"-";"1.136.322";"1.140.237";"3.916";"Nonsense-mediated mRNA decay factor"
"8247";1986807;"g8226";"gene_8247";1986807;"g8226";"VIII";"+";"1.140.786";"1.141.129";"344";"Putative uncharacterized protein"
"8248";1986808;"g8227";"gene_8248";1986808;"g8227";"VIII";"-";"1.142.292";"1.144.875";"2.584";"Heat shock protein hsp88"
"8249";1986809;"g8228";"gene_8249";1986809;"g8228";"VIII";"-";"1.146.424";"1.149.648";"3.225";"Eukaryotic translation initiation factor 5B (eIF-5B)"
"8250";1986810;"g8229";"gene_8250";1986810;"g8229";"VIII";"-";"1.150.786";"1.155.051";"4.266";"Thermotolerance protein"
"8251";1986811;"g8230";"gene_8251";1986811;"g8230";"VIII";"+";"1.160.027";"1.161.589";"1.563";"GTPase-activating protein gyp10"
"8252";1986812;"g8231";"gene_8252";1986812;"g8231";"VIII";"-";"1.162.056";"1.162.463";"408";"Ubiquitin-60S ribosomal protein L40"
"8253";1986813;"g8231.1";"gene_8253";1986813;"g8231.1";"VIII";"-";"1.164.036";"1.166.146";"2.111";"Conserved hypothetical protein"
"8254";1986814;"g8232";"gene_8254";1986814;"g8232";"VIII";"-";"1.166.750";"1.168.029";"1.280";"Eukaryotic translation initiation factor 5A-2 (eIF-5A-2)"
"8255";1986815;"g8233";"gene_8255";1986815;"g8233";"VIII";"+";"1.169.696";"1.171.858";"2.163";"Vacuolar protein sorting-associated protein 52 (Suppressor of actin mutation protein 2)"
"8256";1986816;"g8234";"gene_8256";1986816;"g8234";"VIII";"+";"1.172.395";"1.173.328";"934";"Protein YIP5 (YPT-interacting protein 5)"
"8257";1986817;"g8235";"gene_8257";1986817;"g8235";"VIII";"-";"1.173.706";"1.174.356";"651";"Thiosulfate sulfurtransferase RDL2, mitochondrial (Rhodanese-like protein 2)"
"8258";1986818;"g8236";"gene_8258";1986818;"g8236";"VIII";"-";"1.174.692";"1.176.568";"1.877";"Secretory pathway GDP dissociation inhibitor"
"8259";1986819;"g8237";"gene_8259";1986819;"g8237";"VIII";"-";"1.177.387";"1.178.254";"868";"54S ribosomal protein L4, mitochondrial"
"8260";1986820;"g8238";"gene_8260";1986820;"g8238";"VIII";"+";"1.178.528";"1.178.777";"250";"Putative uncharacterized protein"
"8261";1986821;"g8239";"gene_8261";1986821;"g8239";"VIII";"-";"1.179.112";"1.179.825";"714";"Orotate phosphoribosyltransferase OPRT"
"8262";1986822;"g8240";"gene_8262";1986822;"g8240";"VIII";"-";"1.180.182";"1.181.607";"1.426";"Chromatin modification-related protein EAF7"
"8263";1986823;"g8241";"gene_8263";1986823;"g8241";"VIII";"+";"1.182.202";"1.185.412";"3.211";"Gamma-tubulin complex component 6 (GCP-6)"
"8264";1986824;"g8243";"gene_8264";1986824;"g8243";"VIII";"+";"1.202.637";"1.204.100";"1.464";"Respiration factor 2 (Zinc finger protein ZMS1)"
"8265";1986825;"g8244";"gene_8265";1986825;"g8244";"VIII";"-";"1.205.657";"1.205.980";"324";"Putative uncharacterized protein"
"8266";1986826;"g8246";"gene_8266";1986826;"g8246";"VIII";"+";"1.210.149";"1.211.843";"1.695";"C-22 sterol desaturase (CYP61A1)"
"8267";1986827;"g8247";"gene_8267";1986827;"g8247";"VIII";"+";"1.213.269";"1.214.914";"1.646";"DASH complex subunit ask1"
"8268";1986828;"g8248";"gene_8268";1986828;"g8248";"VIII";"-";"1.214.990";"1.215.604";"615";"Polyamine N-acetyltransferase 1"
"8269";1986829;"g8249";"gene_8269";1986829;"g8249";"VIII";"-";"1.216.456";"1.219.888";"3.433";"Chromatin structure-remodeling complex subunit RSC1"
"8270";1986830;"g8250";"gene_8270";1986830;"g8250";"VIII";"+";"1.221.077";"1.222.114";"1.038";"Putative ubiquitin thioesterase otu1"
"8271";1986831;"g8251";"gene_8271";1986831;"g8251";"VIII";"-";"1.222.197";"1.223.270";"1.074";"Isopenicillin-N N-acyltransferase"
"8272";1986832;"g8252";"gene_8272";1986832;"g8252";"VIII";"-";"1.224.579";"1.226.138";"1.560";"Major facilitator superfamily transporter"
"8273";1986833;"g8253";"gene_8273";1986833;"g8253";"VIII";"+";"1.227.379";"1.227.753";"375";"Conserved hypothetical protein"
"8274";1986834;"g8253.1";"gene_8274";1986834;"g8253.1";"VIII";"+";"1.228.318";"1.228.926";"609";"Benzoate 4-monooxygenase (CYP537E2)"
"8275";1986835;"g8254";"gene_8275";1986835;"g8254";"VIII";"+";"1.232.470";"1.234.947";"2.478";"Probable phosphoketolase"
"8276";1986836;"g8255";"gene_8276";1986836;"g8255";"VIII";"-";"1.235.165";"1.236.493";"1.329";"Formamidase"
"8277";1986837;"g8256";"gene_8277";1986837;"g8256";"VIII";"-";"1.237.608";"1.239.857";"2.250";"Putative uncharacterized protein"
"8278";1986838;"g8257";"gene_8278";1986838;"g8257";"VIII";"-";"1.242.101";"1.243.496";"1.396";"Putative HC-toxin efflux carrier TOXA"
"8279";1986839;"g8258";"gene_8279";1986839;"g8258";"VIII";"+";"1.244.490";"1.245.272";"783";"N(6)-adenine-specific DNA methyltransferase-like 1"
"8280";1986840;"g8259";"gene_8280";1986840;"g8259";"VIII";"-";"1.245.421";"1.247.145";"1.725";"Ubiquitin carboxyl-terminal hydrolase"
"8281";1986841;"g8260";"gene_8281";1986841;"g8260";"VIII";"+";"1.248.359";"1.249.228";"870";"Metallo-beta-lactamase superfamily protein"
"8282";1986842;"g8261";"gene_8282";1986842;"g8261";"VIII";"+";"1.253.018";"1.254.850";"1.833";"Integral membrane protein"
"8283";1986843;"g8262";"gene_8283";1986843;"g8262";"VIII";"-";"1.255.333";"1.255.599";"267";"Ribosome assembly protein 3"
"8284";1986844;"g8263";"gene_8284";1986844;"g8263";"VIII";"-";"1.256.210";"1.258.123";"1.914";"Putative uncharacterized protein"
"8285";1986845;"g8264";"gene_8285";1986845;"g8264";"VIII";"-";"1.258.869";"1.260.441";"1.573";"NADH-ubiquinone oxidoreductase subunit"
"8286";1986846;"g8265";"gene_8286";1986846;"g8265";"VIII";"+";"1.261.179";"1.262.369";"1.191";"Probable 26S proteasome regulatory subunit rpn9"
"8287";1986847;"g8266";"gene_8287";1986847;"g8266";"VIII";"-";"1.262.743";"1.264.650";"1.908";"GPI transamidase component gaa1"
"8288";1986848;"g8267";"gene_8288";1986848;"g8267";"VIII";"-";"1.265.443";"1.266.515";"1.073";"GPI transamidase component"
"8289";1986849;"g8268";"gene_8289";1986849;"g8268";"VIII";"-";"1.267.643";"1.270.784";"3.142";"Aconitate hydratase"
"8290";1986850;"g8269";"gene_8290";1986850;"g8269";"VIII";"+";"1.273.442";"1.273.938";"497";"C2H2 finger domain containing protein"
"8291";1986851;"g8270";"gene_8291";1986851;"g8270";"VIII";"-";"1.274.245";"1.276.055";"1.811";"CBS domain containing protein"
"8292";1986852;"g8271";"gene_8292";1986852;"g8271";"VIII";"+";"1.278.852";"1.282.357";"3.506";"Importin subunit beta-3"
"8293";1986853;"g8272";"gene_8293";1986853;"g8272";"VIII";"+";"1.287.086";"1.290.856";"3.771";"GATA transcription factor"
"8294";1986854;"g8273";"gene_8294";1986854;"g8273";"VIII";"-";"1.291.293";"1.292.321";"1.029";"Putative uncharacterized protein"
"8295";1986855;"g8274";"gene_8295";1986855;"g8274";"VIII";"-";"1.293.898";"1.294.989";"1.092";"Protein RTA1"
"8296";1986856;"g8275";"gene_8296";1986856;"g8275";"VIII";"+";"1.301.653";"1.303.971";"2.319";"Transcription factor prr1 (Pombe response regulator 1)"
"8297";1986857;"g8276";"gene_8297";1986857;"g8276";"VIII";"+";"1.308.053";"1.310.856";"2.804";"Probable translation initiation factor eIF-2B subunit epsilon"
"8298";1986858;"g8277";"gene_8298";1986858;"g8277";"VIII";"-";"1.311.287";"1.314.611";"3.325";"Chitin synthase regulatory factor 4 (Chs four homolog 3)"
"8299";1986859;"g8278";"gene_8299";1986859;"g8278";"VIII";"+";"1.320.045";"1.320.923";"879";"26S proteasome regulatory subunit RPN12 (Nuclear integrity protein 1)"
"8300";1986860;"g8279";"gene_8300";1986860;"g8279";"VIII";"-";"1.321.662";"1.325.730";"4.069";"Coatamer subunit protein"
"8301";1986861;"g8280";"gene_8301";1986861;"g8280";"VIII";"+";"1.326.903";"1.331.559";"4.657";"UDP-glucose:glycoprotein glucosyltransferase"
"8302";1986862;"g8281";"gene_8302";1986862;"g8281";"VIII";"-";"1.331.849";"1.333.894";"2.046";"DNA repair protein rhp54 (RAD54 homolog 1)"
"8303";1986863;"g8282";"gene_8303";1986863;"g8282";"VIII";"+";"1.335.105";"1.339.449";"4.345";"Spindle pole body protein pcp1"
"8304";1986864;"g8283";"gene_8304";1986864;"g8283";"VIII";"+";"1.348.064";"1.349.858";"1.795";"Metacaspase-1"
"8305";1986865;"g8284";"gene_8305";1986865;"g8284";"VIII";"-";"1.350.552";"1.353.156";"2.605";"Putative uncharacterized protein"
"8306";1986866;"g8285";"gene_8306";1986866;"g8285";"VIII";"+";"1.356.630";"1.359.194";"2.565";"Putative uncharacterized protein"
